,RPM,Speed,attack
978,371,0,0
979,131070,0,1
980,131070,0,1
981,0,832,0
982,131070,0,1
983,371,0,0
984,131070,0,1
985,131070,0,1
986,131070,0,1
987,0,832,0
988,370,0,0
989,131070,0,1
990,131070,0,1
991,131070,0,1
992,370,0,0
993,131070,0,1
994,0,832,0
995,131070,0,1
996,131070,0,1
997,372,0,0
998,131070,0,1
999,131070,0,1
1000,0,832,0
1001,131070,0,1
1002,371,0,0
1003,131070,0,1
1004,131070,0,1
1005,131070,0,1
1006,0,832,0
1007,371,0,0
1008,131070,0,1
1009,131070,0,1
1010,131070,0,1
1011,373,0,0
1012,131070,0,1
1013,0,838,0
1014,131070,0,1
1015,131070,0,1
1016,373,0,0
1017,131070,0,1
1018,131070,0,1
1019,0,838,0
1020,131070,0,1
1021,375,0,0
1022,131070,0,1
1023,131070,0,1
1024,131070,0,1
1025,0,838,0
1026,375,0,0
1027,131070,0,1
1028,131070,0,1
1029,131070,0,1
1030,373,0,0
1031,131070,0,1
1032,0,838,0
1033,131070,0,1
1034,131070,0,1
1035,373,0,0
1036,131070,0,1
1037,131070,0,1
1038,0,838,0
1039,131070,0,1
1040,373,0,0
1041,131070,0,1
1042,131070,0,1
1043,131070,0,1
1044,0,838,0
1045,374,0,0
1046,131070,0,1
1047,131070,0,1
1048,131070,0,1
1049,374,0,0
1050,131070,0,1
1051,0,838,0
1052,131070,0,1
1053,131070,0,1
1054,371,0,0
1055,131070,0,1
1056,131070,0,1
1057,0,838,0
1058,131070,0,1
1059,371,0,0
1060,131070,0,1
1061,131070,0,1
1062,0,838,0
1063,371,0,0
1064,131070,0,1
1065,131070,0,1
1066,131070,0,1
1067,131070,0,1
1068,371,0,0
1069,131070,0,1
1070,0,838,0
1071,131070,0,1
1072,131070,0,1
1073,373,0,0
1074,131070,0,1
1075,131070,0,1
1076,0,838,0
1077,131070,0,1
1078,373,0,0
1079,131070,0,1
1080,131070,0,1
1081,131070,0,1
1082,0,838,0
1083,371,0,0
1084,131070,0,1
1085,131070,0,1
1086,131070,0,1
1087,372,0,0
1088,131070,0,1
1089,0,849,0
1090,131070,0,1
1091,131070,0,1
1092,372,0,0
1093,131070,0,1
1094,131070,0,1
1095,0,843,0
1096,131070,0,1
1097,374,0,0
1098,131070,0,1
1099,131070,0,1
1100,131070,0,1
1101,0,838,0
1102,374,0,0
1103,131070,0,1
1104,131070,0,1
1105,131070,0,1
1106,374,0,0
1107,131070,0,1
1108,0,843,0
1109,131070,0,1
1110,131070,0,1
1111,374,0,0
1112,131070,0,1
1113,0,849,0
1114,131070,0,1
1115,131070,0,1
1116,376,0,0
1117,131070,0,1
1118,131070,0,1
1119,131070,0,1
1120,0,843,0
1121,378,0,0
1122,131070,0,1
1123,131070,0,1
1124,131070,0,1
1125,378,0,0
1126,131070,0,1
1127,0,838,0
1128,131070,0,1
1129,131070,0,1
1130,370,0,0
1131,131070,0,1
1132,131070,0,1
1133,0,838,0
1134,131070,0,1
1135,370,0,0
1136,131070,0,1
1137,131070,0,1
1138,131070,0,1
1139,0,838,0
1140,364,0,0
1141,131070,0,1
1142,131070,0,1
1143,131070,0,1
1144,364,0,0
1145,131070,0,1
1146,0,832,0
1147,131070,0,1
1148,131070,0,1
1149,358,0,0
1150,131070,0,1
1151,131070,0,1
1152,0,826,0
1153,131070,0,1
1154,358,0,0
1155,131070,0,1
1156,131070,0,1
1157,0,826,0
1158,131070,0,1
1159,353,0,0
1160,131070,0,1
1161,131070,0,1
1162,131070,0,1
1163,353,0,0
1164,131070,0,1
1165,0,826,0
1166,131070,0,1
1167,131070,0,1
1168,353,0,0
1169,131070,0,1
1170,0,826,0
1171,131070,0,1
1172,131070,0,1
1173,353,0,0
1174,131070,0,1
1175,131070,0,1
1176,131070,0,1
1177,0,826,0
1178,356,0,0
1179,131070,0,1
1180,131070,0,1
1181,131070,0,1
1182,358,0,0
1183,131070,0,1
1184,0,826,0
1185,131070,0,1
1186,131070,0,1
1187,358,0,0
1188,131070,0,1
1189,131070,0,1
1190,0,826,0
1191,131070,0,1
1192,362,0,0
1193,131070,0,1
1194,131070,0,1
1195,131070,0,1
1196,0,826,0
1197,362,0,0
1198,131070,0,1
1199,131070,0,1
1200,131070,0,1
1201,367,0,0
1202,131070,0,1
1203,0,832,0
1204,131070,0,1
1205,131070,0,1
1206,367,0,0
1207,131070,0,1
1208,131070,0,1
1209,0,832,0
1210,131070,0,1
1211,367,0,0
1212,131070,0,1
1213,131070,0,1
1214,0,832,0
1215,131070,0,1
1216,367,0,0
1217,131070,0,1
1218,131070,0,1
1219,131070,0,1
1220,367,0,0
1221,131070,0,1
1222,0,826,0
1223,131070,0,1
1224,131070,0,1
1225,367,0,0
1226,131070,0,1
1227,0,826,0
1228,131070,0,1
1229,131070,0,1
1230,368,0,0
1231,131070,0,1
1232,131070,0,1
1233,131070,0,1
1234,0,832,0
1235,367,0,0
1236,131070,0,1
1237,131070,0,1
1238,131070,0,1
1239,367,0,0
1240,131070,0,1
1241,0,826,0
1242,131070,0,1
1243,131070,0,1
1244,367,0,0
1245,131070,0,1
1246,131070,0,1
1247,0,826,0
1248,131070,0,1
1249,367,0,0
1250,131070,0,1
1251,131070,0,1
1252,0,826,0
1253,131070,0,1
1254,370,0,0
1255,131070,0,1
1256,131070,0,1
1257,131070,0,1
1258,370,0,0
1259,131070,0,1
1260,0,826,0
1261,131070,0,1
1262,131070,0,1
1263,369,0,0
1264,131070,0,1
1265,0,826,0
1266,131070,0,1
1267,131070,0,1
1268,369,0,0
1269,131070,0,1
1270,131070,0,1
1271,131070,0,1
1272,0,832,0
1273,367,0,0
1274,131070,0,1
1275,131070,0,1
1276,131070,0,1
1277,366,0,0
1278,131070,0,1
1279,0,832,0
1280,131070,0,1
1281,131070,0,1
1282,366,0,0
1283,131070,0,1
1284,131070,0,1
1285,0,832,0
1286,131070,0,1
1287,366,0,0
1288,131070,0,1
1289,131070,0,1
1290,131070,0,1
1291,0,826,0
1292,366,0,0
1293,131070,0,1
1294,131070,0,1
1295,131070,0,1
1296,367,0,0
1297,131070,0,1
1298,0,826,0
1299,131070,0,1
1300,131070,0,1
1301,367,0,0
1302,131070,0,1
1303,0,832,0
1304,131070,0,1
1305,131070,0,1
1306,366,0,0
1307,131070,0,1
1308,131070,0,1
1309,0,832,0
1310,131070,0,1
1311,366,0,0
1312,131070,0,1
1313,131070,0,1
1314,131070,0,1
1315,366,0,0
1316,131070,0,1
1317,0,832,0
1318,131070,0,1
1319,131070,0,1
1320,367,0,0
1321,131070,0,1
1322,0,832,0
1323,131070,0,1
1324,131070,0,1
1325,367,0,0
1326,131070,0,1
1327,131070,0,1
1328,131070,0,1
1329,0,832,0
1330,370,0,0
1331,131070,0,1
1332,131070,0,1
1333,131070,0,1
1334,370,0,0
1335,131070,0,1
1336,0,832,0
1337,131070,0,1
1338,131070,0,1
1339,370,0,0
1340,131070,0,1
1341,131070,0,1
1342,0,832,0
1343,131070,0,1
1344,370,0,0
1345,131070,0,1
1346,131070,0,1
1347,0,826,0
1348,131070,0,1
1349,370,0,0
1350,131070,0,1
1351,131070,0,1
1352,131070,0,1
1353,370,0,0
1354,131070,0,1
1355,0,832,0
1356,131070,0,1
1357,131070,0,1
1358,371,0,0
1359,131070,0,1
1360,0,832,0
1361,131070,0,1
1362,131070,0,1
1363,368,0,0
1364,131070,0,1
1365,131070,0,1
1366,0,832,0
1367,131070,0,1
1368,368,0,0
1369,131070,0,1
1370,131070,0,1
1371,131070,0,1
1372,367,0,0
1373,131070,0,1
1374,0,826,0
1375,131070,0,1
1376,131070,0,1
1377,367,0,0
1378,131070,0,1
1379,0,826,0
1380,131070,0,1
1381,131070,0,1
1382,369,0,0
1383,131070,0,1
1384,131070,0,1
1385,131070,0,1
1386,0,826,0
1387,369,0,0
1388,131070,0,1
1389,131070,0,1
1390,131070,0,1
1391,368,0,0
1392,131070,0,1
1393,0,826,0
1394,131070,0,1
1395,131070,0,1
1396,368,0,0
1397,131070,0,1
1398,131070,0,1
1399,0,832,0
1400,131070,0,1
1401,369,0,0
1402,131070,0,1
1403,131070,0,1
1404,131070,0,1
1405,0,832,0
1406,371,0,0
1407,131070,0,1
1408,131070,0,1
1409,131070,0,1
1410,371,0,0
1411,131070,0,1
1412,0,826,0
1413,131070,0,1
1414,131070,0,1
1415,370,0,0
1416,131070,0,1
1417,131070,0,1
1418,0,826,0
1419,131070,0,1
1420,370,0,0
1421,131070,0,1
1422,131070,0,1
1423,131070,0,1
1424,0,832,0
1425,370,0,0
1426,131070,0,1
1427,131070,0,1
1428,131070,0,1
1429,370,0,0
1430,131070,0,1
1431,0,826,0
1432,131070,0,1
1433,131070,0,1
1434,372,0,0
1435,131070,0,1
1436,0,832,0
1437,131070,0,1
1438,131070,0,1
1439,372,0,0
1440,131070,0,1
1441,131070,0,1
1442,0,832,0
1443,131070,0,1
1444,372,0,0
1445,131070,0,1
1446,131070,0,1
1447,131070,0,1
1448,370,0,0
1449,131070,0,1
1450,0,826,0
1451,131070,0,1
1452,131070,0,1
1453,370,0,0
1454,131070,0,1
